ctdotgov_name,corpus_name,firm_id,firm_name,n_trials
41Hemiverse AG,41Hemiverse AG,40,41Hemiverse AG,1
41medical AG,41medical AG,41,41medical AG,1
480 Biomedical,480 Biomedical,42,480 Biomedical,2
"4C Medical Technologies, Inc.","4C Medical Technologies, Inc.",43,"4C Medical Technologies, Inc.",1
4D Molecular Therapeutics,4D Molecular Therapeutics,45,4D Molecular Therapeutics,8
4D pharma plc,4D pharma plc,45,4D Molecular Therapeutics,8
"4Life Research, LLC","4Life Research, LLC",46,"4Life Research, LLC",6
4Living Biotech,4Living Biotech,47,4Living Biotech,1
4Moving Biotech,4Moving Biotech,48,4Moving Biotech,1
4SC AG,4SC AG,49,4SC AG,13
4Tech Cardio Ltd.,4Tech Cardio Ltd.,50,4Tech Cardio Ltd.,3
52 North Health Ltd,52 North Health Ltd,51,52 North Health Ltd,1
57GGardner,57GGardner,52,57GGardner,1
"5i Sciences, Inc.","5i Sciences, Inc.",53,"5i Sciences, Inc.",1
60 Degrees Pharmaceuticals LLC,60 Degrees Pharmaceuticals LLC,54,60 Degrees Pharmaceuticals LLC,3
60P Australia Pty Ltd,60P Australia Pty Ltd,55,60P Australia Pty Ltd,1
6Degrees LTD,6Degrees LTD,56,6Degrees LTD,1
"7 Hills Pharma, LLC","7 Hills Pharma, LLC",57,"7 Hills Pharma, LLC",1
7D Surgical Inc.,7D Surgical Inc.,58,7D Surgical Inc.,1
7TM Pharma A/S,7TM Pharma A/S,59,7TM Pharma A/S,1
"880 Medical, LLC","880 Medical, LLC",60,"880 Medical, LLC",1
"89bio, Inc.","89bio, Inc.",61,"89bio, Inc.",5
"9 Meters Biopharma, Inc.","9 Meters Biopharma, Inc.",62,"9 Meters Biopharma, Inc.",10
906 CMVI Holdings,906 CMVI Holdings,63,906 CMVI Holdings,1
9305-9954 Quebec Inc,9305-9954 Quebec Inc,64,9305-9954 Quebec Inc,2
9zest. Inc.,9zest. Inc.,65,9zest. Inc.,1
A&G Pharmaceutical Inc.,A&G Pharmaceutical Inc.,73,A&G Pharmaceutical Inc.,1
A-Mansia Biotech S.A.,A-Mansia Biotech S.A.,66,A-Mansia Biotech S.A.,2
"A-Spine Asia Co., Ltd.","A-Spine Asia Co., Ltd.",67,"A-Spine Asia Co., Ltd.",1
A. Menarini Industrie Farmaceutiche Riunite S.r.l.,A. Menarini Industrie Farmaceutiche Riunite S.r.l.,68,A. Menarini Industrie Farmaceutiche Riunite S.r.l.,2
A. Vogel AG,A. Vogel AG,69,A. Vogel AG,14
A.M.I. Agency for Medical Innovations GmbH,A.M.I. Agency for Medical Innovations GmbH,70,A.M.I. Agency for Medical Innovations GmbH,1
A.Menarini Asia-Pacific Holdings Pte Ltd,A.Menarini Asia-Pacific Holdings Pte Ltd,71,A.Menarini Asia-Pacific Holdings Pte Ltd,4
A.T. Resolve SARL,A.T. Resolve SARL,10366,Resolve Therapeutics,1
A2 Biotherapeutics Inc.,A2 Biotherapeutics Inc.,75,a2 Milk Company Ltd.,3
A2 Healthcare Taiwan Corporation,A2 Healthcare Taiwan Corporation,75,a2 Milk Company Ltd.,1
A2A Pharmaceuticals Inc.,A2A Pharmaceuticals Inc.,77,A2A Pharmaceuticals Inc.,1
AB Biotek,AB Biotek,2094,Theratocular Biotek Co.,1
"AB Biotics, SA","AB Biotics, SA",85,"AB Biotics, SA",22
AB Science,AB Science,87,AB Science,38
AB-CT - Advanced Breast-CT GmbH,AB-CT - Advanced Breast-CT GmbH,88,AB-CT - Advanced Breast-CT GmbH,1
AB2 Bio Ltd.,AB2 Bio Ltd.,89,AB2 Bio Ltd.,3
ABAStroke Sp. z o.o.,ABAStroke Sp. z o.o.,8190,Tomorrow Sp. z o.o.,1
ABEYE,ABEYE,119,ABEYE,1
ABIGO Medical AB,ABIGO Medical AB,124,ABIGO Medical AB,1
ABK Biomedical,ABK Biomedical,133,ABK Biomedical,2
"ABL Bio, Inc.","ABL Bio, Inc.",134,"ABL Bio, Inc.",5
ABLE Human Motion S.L.,ABLE Human Motion S.L.,137,ABLE Human Motion S.L.,5
ABM Therapeutics Corporation,ABM Therapeutics Corporation,142,ABM Therapeutics Corporation,2
ABM Therapeutics Shanghai Company Limited,ABM Therapeutics Shanghai Company Limited,142,ABM Therapeutics Corporation,2
"ABO Holdings, Inc.","ABO Holdings, Inc.",145,"ABO Holdings, Inc.",1
ABX advanced biochemical compounds GmbH,ABX advanced biochemical compounds GmbH,153,ABX advanced biochemical compounds GmbH,3
AC Immune SA,AC Immune SA,156,AC Immune SA,5
ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.,163,ACADIA Pharmaceuticals Inc.,37
ACE Running LLC,ACE Running LLC,185,"ACE Vision Group, Inc.",1
"ACE Vision Group, Inc.","ACE Vision Group, Inc.",185,"ACE Vision Group, Inc.",4
"ACEA Therapeutics, Inc.","ACEA Therapeutics, Inc.",188,"Hangzhou ACEA Pharmaceutical Research Co., Ltd.",3
ACELYRIN Inc.,ACELYRIN Inc.,192,ACELYRIN Inc.,7
"ACH Food Companies, Inc.","ACH Food Companies, Inc.",206,"ACH Food Companies, Inc.",1
ACM Biolabs,ACM Biolabs,217,ACM Biolabs,1
ACO Hud Nordic AB,ACO Hud Nordic AB,218,ACO Hud Nordic AB,4
ACOM Labs,ACOM Labs,220,ACOM Labs,2
"ACR Biologics, LLC","ACR Biologics, LLC",225,"ACR Biologics, LLC",1
ACRO Biomedical Co. Ltd,ACRO Biomedical Co. Ltd,227,ACRO Biomedical Co. Ltd,1
"ACT Biotech, Inc","ACT Biotech, Inc",232,"ACT Biotech, Inc",1
ACT Genomics,ACT Genomics,232,"ACT Biotech, Inc",1
ACTEON Group,ACTEON Group,239,ACTEON Group,3
ACU Medical Technologies Ltd,ACU Medical Technologies Ltd,263,ACU Medical Technologies Ltd,1
"ADARx Pharmaceuticals, Inc.","ADARx Pharmaceuticals, Inc.",293,"ADARx Pharmaceuticals, Inc.",3
ADC Therapeutics S.A.,ADC Therapeutics S.A.,294,ADC Therapeutics S.A.,21
ADDMEDICA SASA,ADDMEDICA SASA,299,ADDMEDICA SASA,7
"ADMA Biologics, Inc.","ADMA Biologics, Inc.",326,"ADMA Biologics, Inc.",7
"AEON Biopharma, Inc.","AEON Biopharma, Inc.",398,"AEON Biopharma, Inc.",4
AET Laboratories Private Limited,AET Laboratories Private Limited,425,AET Laboratories Private Limited,3
AEYE Health Inc,AEYE Health Inc,430,AEYE Health Inc,3
AEterna Zentaris,AEterna Zentaris,426,AEterna Zentaris,34
"AFT Pharmaceuticals, Ltd.","AFT Pharmaceuticals, Ltd.",449,"AFT Pharmaceuticals, Ltd.",5
AGC Biologics S.p.A.,AGC Biologics S.p.A.,452,AGC Biologics S.p.A.,19
AGIRx Ltd.,AGIRx Ltd.,465,"Nalu Medical, Inc.",1
AGO Research GmbH,AGO Research GmbH,467,AGO Research GmbH,8
AI Labs Group S.L,AI Labs Group S.L,476,AI Labs Group S.L,4
"AI-Robotics Technology Co., Ltd","AI-Robotics Technology Co., Ltd",477,"AI-Robotics Technology Co., Ltd",1
"AIDAR Health, Inc.","AIDAR Health, Inc.",482,"AIDAR Health, Inc.",1
"AIDP, Inc.","AIDP, Inc.",484,"AIDP, Inc.",1
AIM ImmunoTech Inc.,AIM ImmunoTech Inc.,489,AIM ImmunoTech Inc.,9
AIM Therapeutics Inc.,AIM Therapeutics Inc.,491,"AIM Vaccine Co., Ltd.",1
"AIM Vaccine Co., Ltd.","AIM Vaccine Co., Ltd.",491,"AIM Vaccine Co., Ltd.",13
AIQ Solutions,AIQ Solutions,496,AIQ Solutions,1
AJ Vaccines A/S,AJ Vaccines A/S,510,AJ Vaccines A/S,1
AJI Pharma USA,AJI Pharma USA,511,AJI Pharma USA,3
AJNA Australia Pty Ltd,AJNA Australia Pty Ltd,515,AJNA Australia Pty Ltd,1
"AJU Pharm Co., Ltd.","AJU Pharm Co., Ltd.",516,"AJU Pharm Co., Ltd.",4
AKARI Therapeutics,AKARI Therapeutics,519,AKARI Therapeutics,8
AKL Research and Development,AKL Research and Development,532,AKL Research and Development,1
AL-S Pharma,AL-S Pharma,544,AL-S Pharma,2
"ALK Nordic A/S, Danmark Filial","ALK Nordic A/S, Danmark Filial",612,"ALK Nordic A/S, Danmark Filial",1
ALK-Abelló A/S,ALK-Abelló A/S,613,ALK-Abelló A/S,66
"ALTality, Inc.","ALTality, Inc.",689,"ALTality, Inc.",1
ALX Oncology Inc.,ALX Oncology Inc.,728,ALX Oncology Inc.,7
ALZA,ALZA,733,"Alza Corporation, DE, USA",1
AM-Pharma,AM-Pharma,742,AM-Pharma,12
"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc.",743,"AMAG Pharmaceuticals, Inc.",23
AMCG,AMCG,764,AMCG,1
AMES Technology,AMES Technology,786,AMES Technology,4
"AMIpharm Co., Ltd.","AMIpharm Co., Ltd.",793,"AMIpharm Co., Ltd.",4
"AMO Development, LLC","AMO Development, LLC",805,AMO Pharma Limited,1
AMO Pharma Limited,AMO Pharma Limited,805,AMO Pharma Limited,3
"AN2 Therapeutics, Inc","AN2 Therapeutics, Inc",837,"AN2 Therapeutics, Inc",5
ANM Adaptive Neuromodulation GmbH,ANM Adaptive Neuromodulation GmbH,925,ANM Adaptive Neuromodulation GmbH,2
ANS Pharma,ANS Pharma,938,ANS Pharma,2
"ANSwers Neuroscience, Inc.","ANSwers Neuroscience, Inc.",940,"ANSwers Neuroscience, Inc.",1
AO GENERIUM,AO GENERIUM,974,AO GENERIUM,18
AOBiome LLC,AOBiome LLC,975,AOBiome LLC,11
AOP Orphan Pharmaceuticals AG,AOP Orphan Pharmaceuticals AG,976,AOP Orphan Pharmaceuticals AG,11
AOSpine Europe,AOSpine Europe,978,AOSpine Europe,1
AOTI Ltd.,AOTI Ltd.,979,AOTI Ltd.,2
AP Biosciences Inc.,AP Biosciences Inc.,980,AP Biosciences Inc.,1
APOGEPHA Arzneimittel GmbH,APOGEPHA Arzneimittel GmbH,1010,APOGEPHA Arzneimittel GmbH,3
APP Vision Care Inc.,APP Vision Care Inc.,1025,APP Vision Care Inc.,1
APRINOIA Therapeutics,APRINOIA Therapeutics,1046,APRINOIA Therapeutics,1
"APRINOIA Therapeutics, LLC","APRINOIA Therapeutics, LLC",1047,"APRINOIA Therapeutics, LLC",2
"APT Pharmaceuticals, Inc.","APT Pharmaceuticals, Inc.",1051,"APT Pharmaceuticals, Inc.",3
APrevent Biotech GmbH,APrevent Biotech GmbH,1044,APrevent Biotech GmbH,2
AQILION AB,AQILION AB,1065,AQILION AB,1
ARC Devices,ARC Devices,1094,ARC Devices,2
ARC Medical Devices Inc.,ARC Medical Devices Inc.,1094,ARC Devices,1
"ARCA Biopharma, Inc.","ARCA Biopharma, Inc.",1096,"ARCA Biopharma, Inc.",12
ARCTEC,ARCTEC,1111,ARCTEC,4
"ARJ Medical, Inc.","ARJ Medical, Inc.",1147,"ARJ Medical, Inc.",3
ARKAY Therapeutics,ARKAY Therapeutics,1154,ARKAY Therapeutics,1
ARKSurgical,ARKSurgical,1156,ARKSurgical,1
ARNA Genomics US Inc.,ARNA Genomics US Inc.,1165,ARNA Genomics US Inc.,2
ARO Medical,ARO Medical,1167,ARO Medical,1
"ARS Pharmaceuticals, Inc.","ARS Pharmaceuticals, Inc.",1189,"ARS Pharmaceuticals, Inc.",3
ART Advanced Research Technologies Inc.,ART Advanced Research Technologies Inc.,1195,ART Medical Ltd.,1
ART Medical Ltd.,ART Medical Ltd.,1195,ART Medical Ltd.,3
ARTBIO Inc.,ARTBIO Inc.,1199,ARTBIO Inc.,1
ARTIDIS AG,ARTIDIS AG,1219,ARTIDIS AG,1
ARYx Therapeutics,ARYx Therapeutics,1236,ARYx Therapeutics,3
ASC Therapeutics,ASC Therapeutics,1244,ASC Therapeutics,2
ASCEND Therapeutics,ASCEND Therapeutics,1248,ASCEND Therapeutics,3
ASIS Corporation,ASIS Corporation,1284,ASIS Corporation,3
ASIT Biotech S.A.,ASIT Biotech S.A.,1285,ASIT Biotech S.A.,2
"ASKA Pharmaceutical Co., Ltd.","ASKA Pharmaceutical Co., Ltd.",1287,"ASKA Pharmaceutical Co., Ltd.",1
ASP Health,ASP Health,1297,ASP Health,1
ASQA a.s.,ASQA a.s.,1307,ASQA a.s.,1
"AST Products, Inc.","AST Products, Inc.",1312,"AST Products, Inc.",8
ASTORA Women's Health,ASTORA Women's Health,1338,ASTORA Women's Health,7
ASUSTek Computer INC.,ASUSTek Computer INC.,1344,ASUSTek Computer INC.,2
ATF Implants,ATF Implants,1354,ATF Implants,1
"ATGC Co., Ltd.","ATGC Co., Ltd.",1355,"ATGC Co., Ltd.",2
ATGen Canada Inc,ATGen Canada Inc,1356,ATGen Canada Inc,3
"ATI Holdings, LLC","ATI Holdings, LLC",1368,"ATI Holdings, LLC",2
ATRO Medical B.V.,ATRO Medical B.V.,1390,ATRO Medical B.V.,2
ATXA Therapeutics Limited,ATXA Therapeutics Limited,1399,ATXA Therapeutics Limited,2
"AUM Cardiovascular, Inc.","AUM Cardiovascular, Inc.",1412,"AUM Cardiovascular, Inc.",4
AV7 Limited,AV7 Limited,1453,AV7 Limited,1
"AVAVA, Inc.","AVAVA, Inc.",1465,"AVAVA, Inc.",2
AVAX Technologies,AVAX Technologies,1466,AVAX Technologies,5
AVB Biotechnology,AVB Biotechnology,1469,AVB Biotechnology,1
AVEM HealthCare,AVEM HealthCare,1474,AVEM HealthCare,1
"AVEO Pharmaceuticals, Inc.","AVEO Pharmaceuticals, Inc.",1485,"AVEO Pharmaceuticals, Inc.",34
AVIR Green Hills Biotechnology AG,AVIR Green Hills Biotechnology AG,1507,AVIR Green Hills Biotechnology AG,5
AVM Biotechnology Inc,AVM Biotechnology Inc,1513,AVM Biotechnology Inc,3
AVROBIO,AVROBIO,1518,AVROBIO,5
AVVA Pharmaceuticals Ltd.,AVVA Pharmaceuticals Ltd.,1520,AVVA Pharmaceuticals Ltd.,1
AWAK Technologies Pte Ltd,AWAK Technologies Pte Ltd,1522,AWAK Technologies Pte Ltd,2
"AZTherapies, Inc.","AZTherapies, Inc.",1570,"AZTherapies, Inc.",5
"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",78,"Aadi Bioscience, Inc.",11
Aardvark Medical Company,Aardvark Medical Company,81,"Aardvark Therapeutics, Inc.",1
"Aardvark Therapeutics, Inc.","Aardvark Therapeutics, Inc.",81,"Aardvark Therapeutics, Inc.",4
Aaren Scientific Inc.,Aaren Scientific Inc.,82,Aaren Scientific Inc.,1
Aatru Medical LLC,Aatru Medical LLC,83,Aatru Medical LLC,1
Ab Medica Spa,Ab Medica Spa,86,Cell Medica Ltd,1
AbClon,AbClon,112,AbClon,1
AbGenomics B.V Taiwan Branch,AbGenomics B.V Taiwan Branch,122,AbGenomics B.V Taiwan Branch,7
AbSolutions Med Inc.,AbSolutions Med Inc.,149,AbSolutions Med Inc.,2
AbViro LLC,AbViro LLC,152,AbViro LLC,1
"Abalonex, LLC","Abalonex, LLC",90,"Abalonex, LLC",1
AbbVie,AbbVie,109,AbbVie,728
"AbbVie (prior sponsor, Abbott)","AbbVie (prior sponsor, Abbott)",110,"AbbVie (prior sponsor, Abbott)",223
Abbell AB,Abbell AB,92,Abbell AB,1
"Abbisko Therapeutics Co, Ltd","Abbisko Therapeutics Co, Ltd",93,"Abbisko Therapeutics Co, Ltd",17
Abbott,Abbott,94,Abbott Medical Devices,360
Abbott (Ukraine),Abbott (Ukraine),94,Abbott Medical Devices,1
Abbott Biologicals,Abbott Biologicals,94,Abbott Medical Devices,6
Abbott Diabetes Care,Abbott Diabetes Care,94,Abbott Medical Devices,38
Abbott Diagnostics Division,Abbott Diagnostics Division,94,Abbott Medical Devices,8
Abbott Medical Devices,Abbott Medical Devices,94,Abbott Medical Devices,495
Abbott Medical Optics,Abbott Medical Optics,94,Abbott Medical Devices,35
Abbott Molecular,Abbott Molecular,94,Abbott Medical Devices,2
Abbott Nutrition,Abbott Nutrition,94,Abbott Medical Devices,145
Abbott Point of Care,Abbott Point of Care,9686,Point Biomedical,3
Abbott Products,Abbott Products,94,Abbott Medical Devices,11
Abbott Rapid Diagnostics Jena GmbH,Abbott Rapid Diagnostics Jena GmbH,105,Abbott Rapid Diagnostics Jena GmbH,2
Abbott Rapid Dx,Abbott Rapid Dx,106,Abbott Rapid Dx,6
Abbott Research Group,Abbott Research Group,94,Abbott Medical Devices,1
Abbott Transfusion Medicine,Abbott Transfusion Medicine,108,Abbott Transfusion Medicine,1
Abcentra,Abcentra,111,Abcentra,1
"Abcuro, Inc.","Abcuro, Inc.",113,"Abcuro, Inc.",3
Abdi Ibrahim Ilac San. ve Tic A.S.,Abdi Ibrahim Ilac San. ve Tic A.S.,13074,Abdi Ibrahim Ilac San. ve Tic A.S.,3
Abdi İbrahim Otsuka,Abdi İbrahim Otsuka,115,Abdi İbrahim Otsuka,1
"AbelZeta, Inc.","AbelZeta, Inc.",117,"AbelZeta, Inc.",1
"Abela Pharmaceuticals, Inc.","Abela Pharmaceuticals, Inc.",116,"Abela Pharmaceuticals, Inc.",1
"Abeona Therapeutics, Inc","Abeona Therapeutics, Inc",118,"Abeona Therapeutics, Inc",9
"Abfero Pharmaceuticals, Inc","Abfero Pharmaceuticals, Inc",120,"Abfero Pharmaceuticals, Inc",1
Abgenix,Abgenix,121,Abgenix,3
Abide Therapeutics,Abide Therapeutics,123,Abide Therapeutics,6
AbiliTech Medical Inc.,AbiliTech Medical Inc.,126,AbiliTech Medical Inc.,3
Abilion Medical Systems AB,Abilion Medical Systems AB,125,Abilion Medical Systems AB,1
Ability Pharmaceuticals SL,Ability Pharmaceuticals SL,127,Ability Pharmaceuticals SL,4
"Ability Prosthetics and Orthotics, Inc.","Ability Prosthetics and Orthotics, Inc.",128,"Ability Prosthetics and Orthotics, Inc.",1
Abiomed Inc.,Abiomed Inc.,129,Abiomed Inc.,28
Abion Inc,Abion Inc,131,Abionic SA,3
Abionic SA,Abionic SA,131,Abionic SA,8
Abivax S.A.,Abivax S.A.,132,Abivax S.A.,21
"Ablacon, Inc.","Ablacon, Inc.",135,"Ablacon, Inc.",4
"Ablative Solutions, Inc.","Ablative Solutions, Inc.",1191,"Ablative Solutions, Inc.",4
Abliva AB,Abliva AB,138,Abliva AB,3
Ably Medical AS,Ably Medical AS,139,Ably Medical AS,1
"Ablynx, a Sanofi company","Ablynx, a Sanofi company",140,"Ablynx, a Sanofi company",25
Abnoba Gmbh,Abnoba Gmbh,144,Abnoba Gmbh,3
Abnoba Korea,Abnoba Korea,144,Abnoba Gmbh,1
Aboca Spa Societa' Agricola,Aboca Spa Societa' Agricola,146,Aboca Spa Societa' Agricola,13
"AboutSkin Dermatology and DermSurgery, PC","AboutSkin Dermatology and DermSurgery, PC",147,"AboutSkin Dermatology and DermSurgery, PC",1
"Abrexa Pharmaceuticals, Inc.","Abrexa Pharmaceuticals, Inc.",148,"Abrexa Pharmaceuticals, Inc.",1
Abt Associates,Abt Associates,150,Abt Associates,6
Abvance Therapeutics,Abvance Therapeutics,151,Abvance Therapeutics,1
"Abyrx, Inc.","Abyrx, Inc.",154,"Abyrx, Inc.",1
Abyss Ingredients,Abyss Ingredients,155,Abyss Ingredients,3
Acacia Pharma Ltd,Acacia Pharma Ltd,157,Acacia Pharma Ltd,18
AcadeMab Biomedical Inc.,AcadeMab Biomedical Inc.,158,AcadeMab Biomedical Inc.,1
Academic Thoracic Oncology Medical Investigators Consortium,Academic Thoracic Oncology Medical Investigators Consortium,159,Academic Thoracic Oncology Medical Investigators Consortium,4
Academic Web Pages,Academic Web Pages,160,Academic Web Pages,1
"Academy Military Medical Science, China","Academy Military Medical Science, China",162,"Academy Military Medical Science, China",2
Academy for Educational Development,Academy for Educational Development,161,Academy for Educational Development,1
Acandis GmbH,Acandis GmbH,164,Acandis GmbH,7
Acanthas Pharma Inc,Acanthas Pharma Inc,165,Acanthas Pharma Inc,1
Acarix,Acarix,166,Acarix,4
Acasti Pharma Inc.,Acasti Pharma Inc.,167,Acasti Pharma Inc.,8
"Accelerate Diagnostics, Inc.","Accelerate Diagnostics, Inc.",168,Advanced Accelerator Applications,4
"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA","Acceleron Pharma, Inc.",169,"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",27
Accendatech USA Inc.,Accendatech USA Inc.,170,Accendatech USA Inc.,1
Accentia Biopharmaceuticals,Accentia Biopharmaceuticals,171,Accentia Biopharmaceuticals,1
Accenture,Accenture,172,Accenture,6
Access Business Group,Access Business Group,173,Access Business Group,10
"Access Pharmaceuticals, Inc.","Access Pharmaceuticals, Inc.",174,Access Vascular Inc,2
Access Vascular Inc,Access Vascular Inc,174,Access Vascular Inc,3
Accexible,Accexible,176,Accexible,4
Acclarent,Acclarent,177,Acclarent,21
Accriva Diagnostics,Accriva Diagnostics,178,Accriva Diagnostics,4
"Accuitis, Inc.","Accuitis, Inc.",179,"Accuitis, Inc.",1
"Accumetrics, Inc.","Accumetrics, Inc.",180,"Accumetrics, Inc.",1
Accunea Ltd.,Accunea Ltd.,181,Accunea Ltd.,2
Accuray Incorporated,Accuray Incorporated,182,Accuray Incorporated,6
Accure Therapeutics,Accure Therapeutics,183,Accure Therapeutics,1
Accutar Biotechnology Inc,Accutar Biotechnology Inc,184,Accutar Biotechnology Inc,6
Ace Cells Lab Limited,Ace Cells Lab Limited,185,"ACE Vision Group, Inc.",1
"AceLink Therapeutics, Inc.","AceLink Therapeutics, Inc.",190,"AceLink Therapeutics, Inc.",2
AceTech,AceTech,204,AceTech,2
"Acea Bio (Hangzhou) Co., Ltd.","Acea Bio (Hangzhou) Co., Ltd.",188,"Hangzhou ACEA Pharmaceutical Research Co., Ltd.",1
"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc.",191,"AcelRx Pharmaceuticals, Inc.",17
"Acepodia Biotech, Inc.","Acepodia Biotech, Inc.",193,"Acepodia Biotech, Inc.",2
Acer Being Health Inc.,Acer Being Health Inc.,194,Acer Therapeutics Inc.,1
Acer Medical Inc.,Acer Medical Inc.,194,Acer Therapeutics Inc.,1
Acer Therapeutics Inc.,Acer Therapeutics Inc.,194,Acer Therapeutics Inc.,2
"Acera Surgical, Inc.","Acera Surgical, Inc.",197,"Acera Surgical, Inc.",4
Aceragen,Aceragen,198,Aceragen,1
Acerta Pharma BV,Acerta Pharma BV,199,Acerta Pharma BV,41
Acerus Biopharma Inc.,Acerus Biopharma Inc.,201,Acerus Pharmaceuticals Corporation,1
Acerus Pharmaceuticals Corporation,Acerus Pharmaceuticals Corporation,201,Acerus Pharmaceuticals Corporation,10
Acesion Pharma,Acesion Pharma,202,Acesion Pharma,2
"Acessa Health, Inc.","Acessa Health, Inc.",203,"Acessa Health, Inc.",5
Acetylon Pharmaceuticals Incorporated,Acetylon Pharmaceuticals Incorporated,205,Acetylon Pharmaceuticals Incorporated,1
"Achaogen, Inc.","Achaogen, Inc.",207,"Achaogen, Inc.",12
Ache Laboratorios Farmaceuticos S.A.,Ache Laboratorios Farmaceuticos S.A.,208,Ache Laboratorios Farmaceuticos S.A.,30
Achelios Therapeutics,Achelios Therapeutics,209,Achelios Therapeutics,1
Achieve Life Sciences,Achieve Life Sciences,210,Achieve Life Sciences,29
Achiko AG,Achiko AG,211,Achiko AG,1
Achilles Therapeutics UK Limited,Achilles Therapeutics UK Limited,212,Achilles Therapeutics UK Limited,4
Achros Health Technologies Corporation,Achros Health Technologies Corporation,213,Achros Health Technologies Corporation,1
"Aciex Therapeutics, Inc.","Aciex Therapeutics, Inc.",214,"Aciex Therapeutics, Inc.",8
Acist Medical Systems,Acist Medical Systems,215,Acist Medical Systems,3
"Aclaris Therapeutics, Inc.","Aclaris Therapeutics, Inc.",216,"Aclaris Therapeutics, Inc.",31
"Acologix, Inc.","Acologix, Inc.",219,"Acologix, Inc.",2
Acorai AB,Acorai AB,221,Acorai AB,1
Acorda Therapeutics,Acorda Therapeutics,222,Acorda Therapeutics,38
"Acorn Cardiovascular, Inc.","Acorn Cardiovascular, Inc.",223,"Acorn Cardiovascular, Inc.",1
"Acotec Scientific Co., Ltd","Acotec Scientific Co., Ltd",224,"Acotec Scientific Co., Ltd",16
Acrivon Therapeutics,Acrivon Therapeutics,226,Acrivon Therapeutics,1
Acrobio Healthcare Inc.,Acrobio Healthcare Inc.,228,Acrobio Healthcare Inc.,1
"Across Co., Ltd.","Across Co., Ltd.",229,"Across Co., Ltd.",2
Acrotech Biopharma Inc.,Acrotech Biopharma Inc.,230,Acrotech Biopharma Inc.,27
Acrux DDS Pty Ltd,Acrux DDS Pty Ltd,231,Acrux DDS Pty Ltd,4
