firm_id,firm_name,n_trials,first_approval_date,n_approvals
173,Access Business Group,10,NA,0
174,Access Vascular Inc,7,NA,0
176,Accexible,4,NA,0
177,Acclarent,21,NA,0
178,Accriva Diagnostics,4,NA,0
179,"Accuitis, Inc.",1,NA,0
180,"Accumetrics, Inc.",1,NA,0
181,Accunea Ltd.,2,NA,0
182,Accuray Incorporated,6,NA,0
183,Accure Therapeutics,1,NA,0
184,Accutar Biotechnology Inc,6,NA,0
185,"ACE Vision Group, Inc.",6,NA,0
188,"Hangzhou ACEA Pharmaceutical Research Co., Ltd.",11,NA,0
190,"AceLink Therapeutics, Inc.",2,NA,0
191,"AcelRx Pharmaceuticals, Inc.",17,2018-11-02,1
192,ACELYRIN Inc.,7,NA,0
193,"Acepodia Biotech, Inc.",2,NA,0
194,Acer Therapeutics Inc.,4,NA,0
197,"Acera Surgical, Inc.",4,NA,0
198,Aceragen,1,NA,0
199,Acerta Pharma BV,41,NA,0
201,Acerus Pharmaceuticals Corporation,11,2014-05-28,2
202,Acesion Pharma,2,NA,0
203,"Acessa Health, Inc.",5,NA,0
204,AceTech,2,NA,0
205,Acetylon Pharmaceuticals Incorporated,1,NA,0
206,"ACH Food Companies, Inc.",1,NA,0
207,"Achaogen, Inc.",12,NA,0
208,Ache Laboratorios Farmaceuticos S.A.,30,NA,0
209,Achelios Therapeutics,1,NA,0
210,Achieve Life Sciences,29,NA,0
211,Achiko AG,1,NA,0
212,Achilles Therapeutics UK Limited,4,NA,0
213,Achros Health Technologies Corporation,1,NA,0
214,"Aciex Therapeutics, Inc.",8,NA,0
215,Acist Medical Systems,3,NA,0
216,"Aclaris Therapeutics, Inc.",31,2017-12-14,1
217,ACM Biolabs,1,NA,0
218,ACO Hud Nordic AB,4,NA,0
219,"Acologix, Inc.",2,NA,0
220,ACOM Labs,2,NA,0
221,Acorai AB,1,NA,0
222,Acorda Therapeutics,38,2010-01-22,2
223,"Acorn Cardiovascular, Inc.",1,NA,0
224,"Acotec Scientific Co., Ltd",16,NA,0
225,"ACR Biologics, LLC",1,NA,0
226,Acrivon Therapeutics,1,NA,0
227,ACRO Biomedical Co. Ltd,1,NA,0
228,Acrobio Healthcare Inc.,1,NA,0
229,"Across Co., Ltd.",2,NA,0
230,Acrotech Biopharma Inc.,27,2008-03-07,5
231,Acrux DDS Pty Ltd,4,2021-06-21,1
232,"ACT Biotech, Inc",2,NA,0
234,Actamax Surgical Materials LLC,2,NA,0
235,Actavis Inc.,95,2022-07-01,1
236,Actavis Mid-Atlantic LLC,4,2022-07-01,1
237,Actegy Ltd.,2,NA,0
238,Actelion,145,2001-11-20,8
239,ACTEON Group,3,NA,0
240,Acticor Biotech,3,NA,0
241,Actimed Therapeutics Ltd,1,NA,0
242,Actinium Pharmaceuticals,5,NA,0
243,Actinogen Medical,6,NA,0
244,Action Pharma A/S,3,NA,0
246,Activ'inside,5,NA,0
247,Activaero GmbH,1,NA,0
248,Activartis Biotech,2,NA,0
249,ActivBiotics,3,NA,0
251,Active Biotech AB,20,NA,0
255,ActiveO Inc.,1,NA,0
256,"ActiveProtective Technologies, Inc",1,NA,0
257,ActiViews Ltd.,7,NA,0
258,"ActivX Biosciences, Inc.",2,NA,0
259,ActoGeniX N.V.,2,NA,0
260,Actualize Therapy,1,NA,0
261,Actuate Therapeutics Inc.,6,NA,0
263,ACU Medical Technologies Ltd,1,NA,0
264,"AcuFocus, Inc.",13,NA,0
266,"Acuity Polymers, Inc.",2,NA,0
267,"Acumed, LLC",1,NA,0
268,Acumen Pharmaceuticals,1,NA,0
269,Acura Pharmaceuticals Inc.,4,NA,0
270,Acurable Ltd.,3,NA,0
271,Acurx Pharmaceuticals Inc.,1,NA,0
272,"AcusMu Medtech Co., Ltd.",1,NA,0
273,Acusphere,5,NA,0
274,Acutus Medical,14,NA,0
275,Ada Health GmbH,2,NA,0
276,Adacyte Therapeutics SL,2,NA,0
277,Adagene Inc,9,NA,0
279,Adagio Medical,7,NA,0
280,AdAlta Limited,2,NA,0
281,Adam Bataineh,1,NA,0
282,"Adamas Pharmaceuticals, Inc.",10,2017-08-24,2
283,Adamis Pharmaceuticals Corporation,4,2017-06-15,2
284,Adams Respiratory Therapeutics,2,NA,0
285,"Adan Medical Innovation, SL",2,NA,0
287,Adapt Produtos Oftalmológicos Ltda.,5,NA,0
288,Adaptimmune,16,1986-02-25,7
290,Adaptive Biotechnologies,10,NA,0
291,"Adaptive Phage Therapeutics, Inc.",8,NA,0
292,"Adare Pharmaceuticals, Inc.",1,2004-08-18,4
293,"ADARx Pharmaceuticals, Inc.",3,NA,0
294,ADC Therapeutics S.A.,21,2021-04-23,1
295,Adcentrx Therapeutics,1,NA,0
296,Addbio AB,1,NA,0
297,Addex Pharma S.A.,7,NA,0
298,"Addinex Technologies, Inc.",1,NA,0
299,ADDMEDICA SASA,7,NA,0
300,Addpharma Inc.,26,NA,0
301,"Addrenex Pharmaceuticals, Inc.",3,NA,0
302,Adelholzener Alpenquellen GmbH,1,NA,0
303,"Adello Biologics, LLC",2,NA,0
304,Adelphi Values LLC,1,NA,0
305,"Adenocyte, LLC",3,NA,0
306,Adenovir Pharma AB,1,NA,0
307,Adeona Pharmaceuticals,1,NA,0
308,"Adera Labs, LLC",1,NA,0
309,Aderans Research Institute,11,NA,0
310,Aderis Pharmaceuticals,1,NA,0
311,"Adhera Health, Inc.",7,2015-01-21,1
312,"Adherex Technologies, Inc.",9,NA,0
313,Adial Pharmaceuticals,1,NA,0
314,"Adicet Bio, Inc",2,NA,0
315,Adienne SA,1,2017-01-26,1
316,Adient Medical,1,NA,0
317,"Adiga Life Sciences, Inc.",1,NA,0
318,Adimmune Corporation,15,NA,0
319,Adipeau Inc.,1,NA,0
320,AdiSave Inc.,1,NA,0
321,Adiso Therapeutics,2,NA,0
322,Adistem Ltd,2,NA,0
323,"Aditxt, Inc.",1,NA,0
324,"Adjuvance Technologies, Inc.",1,NA,0
325,"Adlai Nortye Biopharma Co., Ltd.",7,NA,0
326,"ADMA Biologics, Inc.",7,NA,0
327,Admetsys Corporation,1,NA,0
329,Adocia,27,NA,0
330,Adom Advanced Optical Technologies Ltd.,2,NA,0
331,Adrenas Therapeutics Inc,2,NA,0
332,Adrenomed AG,2,NA,0
333,"Aduro Biotech, Inc.",8,NA,0
334,Adva-Tec,2,NA,0
335,"Advaccine (Suzhou) Biopharmaceuticals Co., Ltd.",2,NA,0
336,Advagene Biopharma Co. Ltd.,6,NA,0
337,Advance Biofactures Corporation,1,NA,0
338,"Shockwave Medical, Inc.",19,NA,0
339,AdvanceCor GmbH,2,NA,0
342,Advanced BioDesign,1,NA,0
344,Advanced Bionics,20,NA,0
345,"Advanced Brain Monitoring, Inc.",3,NA,0
346,Cancer Advances Inc.,17,NA,0
347,Advanced Circulatory Systems,7,NA,0
348,"Advanced Clinical Laboratory Solutions, Inc.",2,NA,0
349,"Advanced Cooling Therapy, Inc., d/b/a Attune Medical",5,NA,0
350,Advanced Cosmetic Intervention,2,NA,0
351,Advanced CPR Solutions,1,NA,0
356,Advanced Life Solutions,2,1982-12-17,1
357,Advanced Magnetic Research Institute International,2,NA,0
360,Advanced NanoTherapies,1,NA,0
361,Advanced Ophthalmic Pharma,3,2005-10-07,1
362,Advanced Osteotomy Tools (AOT) AG,1,NA,0
363,Advanced Peptides,1,NA,0
365,Advanced Research Network,1,NA,0
366,Advanced Scanners Inc.,3,NA,0
368,Advanced Technology & Communications,2,NA,0
369,Advanced Viral Research Corp,1,NA,0
371,"Advancell - Advanced In Vitro Cell Technologies, S.A.",2,NA,0
372,AdvanCell Isotopes Pty Limited,1,NA,0
373,Advanced Medical Solutions Ltd.,19,NA,0
375,"Advantage Silver Dental Arrest, LLC",11,NA,0
376,Advanz Pharma,10,NA,0
377,"Advaxis, Inc.",10,NA,0
379,Advenchen Laboratories Nanjing Ltd.,9,NA,0
381,Adventus Technology,1,NA,0
382,"Adverum Biotechnologies, Inc.",8,NA,0
383,Advice Pharma Group srl,3,NA,0
384,Advicenne Pharma,4,NA,0
385,Adwin Life Care,5,NA,0
386,"Adynxx, Inc.",5,NA,0
387,"Aegea Medical, Inc.",1,NA,0
388,Aegera Therapeutics,9,NA,0
389,Aegeria Soft Tissue LLC,1,NA,0
390,"Aegerion Pharmaceuticals, Inc.",18,2014-02-24,1
391,Aegis Medical Innovations,1,2003-03-31,1
392,AegisCN LLC,2,NA,0
393,Aegle Therapeutics,2,NA,0
394,Aeglea Biotherapeutics,8,NA,0
395,Aelis Farma,8,NA,0
396,Aelix Therapeutics,2,NA,0
397,Aeon Astron Europe B.V.,2,NA,0
398,"AEON Biopharma, Inc.",5,NA,0
400,Aeonvital Biomedicine,1,NA,0
401,Aeos Biomedical Inc.,1,NA,0
402,"Aeovian Pharmaceuticals, Inc.",1,NA,0
403,Aer Therapeutics,1,NA,0
404,Aerami Therapeutics,1,NA,0
405,Aerie Pharmaceuticals,56,2017-12-18,2
406,Aerin Medical,11,NA,0
408,Aerocrine AB,7,NA,0
409,Aerogen Pharma Limited,3,NA,0
410,"Aeromics, Inc.",1,NA,0
411,Aerotel Ltd,2,NA,0
413,"Aerovance, Inc.",7,NA,0
414,Aerpio Therapeutics,6,NA,0
415,Aesculap AG,98,NA,0
420,"AesculaTech, Inc.",1,NA,0
421,"AesDex, LLC",1,NA,0
422,Zeltiq Aesthetics,41,NA,0
423,Aestus Therapeutics,1,NA,0
424,Aesyra SA,1,NA,0
425,AET Laboratories Private Limited,3,2021-02-01,2
426,AEterna Zentaris,34,NA,0
427,Aethlon Medical Inc.,3,NA,0
428,"Aetna, Inc.",1,NA,0
429,"Aevi Genomic Medicine, LLC, a Cerecor company",13,NA,0
430,AEYE Health Inc,3,NA,0
431,Afasci Inc,1,NA,0
432,Afexa Life Sciences Inc,5,NA,0
433,AffaMed Therapeutics (US) Inc.,1,NA,0
434,"Affect Therapeutics, Inc.",2,NA,0
435,Affectis Pharmaceuticals AG,1,NA,0
436,"Affera, Inc.",3,NA,0
437,"Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",15,NA,0
438,Affibody,4,NA,0
439,Affimed GmbH,9,NA,0
440,"Affini-T Therapeutics, Inc.",1,NA,0
441,"Affinium Pharmaceuticals, Ltd",1,NA,0
442,"Affinivax, Inc.",2,NA,0
443,Affiris AG,20,NA,0
444,"AffyImmune Therapeutics, Inc.",1,NA,0
445,Affymax,13,NA,0
446,Afimmune,5,NA,0
447,Afon Technology,1,NA,0
449,"AFT Pharmaceuticals, Ltd.",5,NA,0
450,Agalimmune Ltd.,1,NA,0
451,"AgaMatrix, Inc.",2,NA,0
452,AGC Biologics S.p.A.,19,NA,0
453,Ageless Regenerative Institute,17,NA,0
454,AgelessRx,5,NA,0
455,Agen Biomedical,2,NA,0
456,Agendia,8,NA,0
457,AgeneBio,2,NA,0
458,Agennix,17,NA,0
459,"Agensys, Inc.",2,NA,0
460,Agenus Inc.,29,NA,0
461,"Aggredyne, Inc.",3,NA,0
462,Agile Therapeutics,8,2020-02-14,1
463,"AgileMD, Inc.",1,NA,0
464,"Agios Pharmaceuticals, Inc.",41,2022-02-17,1
465,"Nalu Medical, Inc.",4,NA,0
466,"AgNovos Healthcare, LLC",8,NA,0
467,AGO Research GmbH,8,NA,0
468,Agomab Spain S.L.,3,NA,0
469,"AgoneX Biopharmaceuticals, Inc.",1,NA,0
470,"AgonOx, Inc.",1,NA,0
471,Agouron Pharmaceuticals,14,1997-03-14,3
472,"Aguiflai Iberica, S.L.",2,NA,0
473,Agyany Pharma LTD,1,NA,0
474,Ahava Dead Sea Laboratories,1,NA,0
475,"Ahn-Gook Pharmaceuticals Co.,Ltd",18,NA,0
476,AI Labs Group S.L,4,NA,0
477,"AI-Robotics Technology Co., Ltd",1,NA,0
478,"Aiberry, Inc",1,NA,0
479,AiCure,2,NA,0
480,AiCuris Anti-infective Cures AG,8,NA,0
481,Aidan Products LLC,1,NA,0
482,"AIDAR Health, Inc.",1,NA,0
483,Aidence,1,NA,0
484,"AIDP, Inc.",1,NA,0
486,Aifred Health,2,NA,0
487,Aileens Pharma SRL,2,NA,0
488,"Aileron Therapeutics, Inc.",5,NA,0
489,AIM ImmunoTech Inc.,9,NA,0
491,"AIM Vaccine Co., Ltd.",14,NA,0
492,"Aimei Vacin BioPharm (Zhejiang) Co., Ltd.",1,NA,0
493,"Aimmune Therapeutics, Inc.",11,NA,0
494,"Ainos, Inc. (f/k/a Amarillo Biosciences Inc.",5,NA,0
495,"Aionx, Inc.",1,NA,0
496,AIQ Solutions,1,NA,0
497,Air Liquide Santé International,34,2020-06-02,6
500,AirEmail Holdings Limited,1,NA,0
502,"Airiver Medical, Inc.",2,NA,0
503,Airsonett AB,2,NA,0
504,"Airway Therapeutics, Inc.",2,NA,0
505,"AirXpanders, Inc.",4,NA,0
506,Aisap LTD,1,NA,0
507,Aisthesis Medical P.C.,1,NA,0
508,"Aivita Biomedical, Inc.",7,NA,0
509,"AiViva BioPharma, Inc.",6,NA,0
510,AJ Vaccines A/S,1,NA,0
511,AJI Pharma USA,3,NA,0
512,"Ajinomoto Co., Inc.",5,NA,0
515,AJNA Australia Pty Ltd,1,NA,0
516,"AJU Pharm Co., Ltd.",4,NA,0
517,Akamis Bio,10,NA,0
518,"Akan Biosciences, LLC",1,NA,0
519,AKARI Therapeutics,8,NA,0
520,Akashi Therapeutics,1,NA,0
521,Akaza Bioscience Ltd,1,NA,0
522,Akcea Therapeutics,15,2018-10-05,1
523,Akebia Therapeutics,33,NA,0
524,"Akela Pharma, Inc.",1,NA,0
525,Aker Biomarine Antarctic AS,5,NA,0
526,Akern USA LLC,1,NA,0
527,"Akero Therapeutics, Inc",5,NA,0
528,Akeso,92,NA,0
529,Akesobio Australia Pty Ltd,9,NA,0
530,"Akili Interactive Labs, Inc.",12,NA,0
531,Akinion Pharmaceuticals AB,1,NA,0
532,AKL Research and Development,1,NA,0
533,Akloma Bioscience AB,1,NA,0
534,Akontis,1,NA,0
535,"Akorn, Inc.",4,1946-05-06,246
536,"Akouos, Inc.",2,NA,0
537,AkPharma Inc.,1,NA,0
538,Akrikhin,1,NA,0
539,Akron Molecules AG,1,NA,0
540,"Melinta Therapeutics, Inc.",55,2017-06-19,2
541,Aktiia SA,5,NA,0
542,Akura Medical,1,NA,0
543,Al Adan Hospital Kuwait,2,NA,0
544,AL-S Pharma,2,NA,0
545,"Alacrity Biosciences, Inc.",1,NA,0
546,AlaMab Therapeutics (Shanghai) Inc.,2,NA,0
547,"Alan Neuromedical Technologies, LLC",1,NA,0
548,Alan Richardson,1,NA,0
549,Alar Pharmaceuticals Inc.,1,NA,0
550,Alaunos Therapeutics,37,NA,0
551,Alavita Pharmaceuticals Inc,1,NA,0
552,Alaxia SAS,2,NA,0
553,"Albany Molecular Research, Inc.",1,NA,0
554,Albert Saglik Hizmetleri ve Ticaret A.S.,1,NA,0
555,Albimmune SL,1,NA,0
556,Albion,1,NA,0
557,Albireo,16,2021-07-20,1
558,Alcediag,1,NA,0
559,Alchemia Oncology,1,NA,0
560,Alcis,2,NA,0
561,Alcobra Ltd.,8,NA,0
563,Alcon Research,590,1960-02-23,46
565,"Alcresta Therapeutics, Inc.",2,NA,0
566,"Alcyone Therapeutics, Inc",2,NA,0
567,Aldagen,3,NA,0
568,Alden Cancer Therapy II,1,NA,0
569,"Alder Biopharmaceuticals, Inc.",6,NA,0
570,"Aldeyra Therapeutics, Inc.",30,NA,0
571,Alebund Pty Ltd,4,NA,0
573,Alector Inc.,10,NA,0
574,Alembic Pharmaceuticals Ltd.,3,2021-02-11,2
575,Alentis Therapeutics AG,3,NA,0
576,Aleor Dermaceuticals Limited,1,2018-11-23,23
577,Alere San Diego,5,NA,0
578,Aleris Eye,1,NA,0
579,Aleris Obesity,2,NA,0
580,Alesi Surgical Ltd.,1,NA,0
581,Alessa Therapeutics Inc.,3,NA,0
582,Alethia Biotherapeutics,3,NA,0
583,Aleva Neurotherapeutics SA,4,NA,0
584,Alexander Eaton,1,NA,0
585,"Alexion Pharmaceuticals, Inc.",220,2007-03-16,4
586,"Alexza Pharmaceuticals, Inc.",31,2012-12-21,1
587,Alfa Intes Industria Terapeutica Splendore s.r.l.,1,NA,0
588,Alfa Wassermann Tunisia,1,NA,0
589,Alfacell,1,NA,0
590,Alfact Innovation,1,NA,0
591,Alfasigma S.p.A.,11,2002-07-24,1
592,Alfred E. Tiefenbacher (GmbH & Co. KG),1,NA,0
593,Algatechnologies Ltd.,2,NA,0
594,Algenis SpA,3,NA,0
595,Algernon Pharmaceuticals,3,NA,0
596,Algiax Pharmaceuticals GmbH,1,NA,0
597,AlgiPharma AS,6,NA,0
598,AlgoDx,3,NA,0
599,"AlgoMedica, Inc.",1,NA,0
600,AlgoRx Pharmaceuticals,8,NA,0
601,Algosource,1,NA,0
602,AlgoTherapeutix,2,NA,0
603,Alife Health,1,NA,0
604,"Align Technology, Inc.",4,NA,0
605,Aligos Therapeutics,7,NA,0
606,Alimentary Health Ltd,1,NA,0
607,Alimera Sciences,11,2014-09-26,1
609,Alios Biopharma Inc.,23,NA,0
610,Alizé Pharma,1,NA,0
611,Alizyme,6,NA,0
612,"ALK Nordic A/S, Danmark Filial",1,NA,0
613,ALK-Abelló A/S,66,NA,0
614,"Alkahest, Inc.",12,NA,0
615,"AlkaliDx, Inc.",1,NA,0
616,"Alkermes, Inc.",74,2006-04-13,1
617,"Alkeus Pharmaceuticals, Inc.",4,NA,0
618,Alko Do Brasil Industria e Comercio Ltda,1,NA,0
619,All4Cure,3,NA,0
620,"Alladapt Immunotherapeutics, Inc.",2,NA,0
621,Allakos Inc.,17,NA,0
622,Allarity Therapeutics,8,NA,0
623,"Allay Therapeutics, Inc.",1,NA,0
624,"Allaysis, LLC",1,NA,0
625,"Alleanza Pharmaceuticals, Inc.",1,NA,0
626,Allecra,7,NA,0
627,"Allegro Ophthalmics, LLC",8,NA,0
629,Allena Pharmaceuticals,12,NA,0
630,Allerderm,11,NA,0
631,Allergan,532,1950-05-11,312
634,Allergisa Pesquisa Dermato-Cosmetica LTDA,1,NA,0
635,Allergopharma GmbH & Co. KG,22,NA,0
636,Allergy Therapeutics,26,NA,0
637,AllerPops Corp,1,NA,0
638,AllerQuest LLC,1,1974-07-25,1
639,"Allertein Therapeutics, LLC",1,NA,0
640,"Alleviant Medical, Inc.",5,NA,0
641,Allgenesis Biotherapeutics Inc.,3,NA,0
643,Alliancells Bioscience Corporation Limited,2,NA,0
644,"Alliancells-PuRui Biocience Co., Ltd.",1,NA,0
645,Allievex Corporation,5,NA,0
646,"Allife Medical Science and Technology Co., Ltd.",15,NA,0
647,Alligator Bioscience AB,4,NA,0
648,"Alliqua BioMedical, Inc",1,NA,0
649,"Allist Pharmaceuticals, Inc.",10,NA,0
650,"Allium, Ltd.",2,NA,0
651,AlloCure Inc.,2,NA,0
652,"Allodynic Therapeutics, Inc",7,NA,0
653,Allogene Therapeutics,6,NA,0
654,Alloksys Life Sciences B.V.,3,NA,0
655,Allon Therapeutics,3,NA,0
656,Alloplex Biotherapeutics Inc,1,NA,0
657,Allorion Therapeutics Inc,1,NA,0
658,AlloSource,6,NA,0
659,"Allotex, Inc.",3,NA,0
660,AlloVir,11,NA,0
661,Alltech Life Sciences Inc.,1,NA,0
662,Allurion Technologies,4,NA,0
663,AllVascular,1,NA,0
664,Allysta Pharmaceutical,4,NA,0
665,Allyx Therapeutics,2,NA,0
667,Alma Lasers,13,NA,0
668,Almac Discovery,1,NA,0
669,"Almirall, S.A.",57,1963-03-19,28
671,Alnylam Pharmaceuticals,61,2018-08-10,4
672,"Alopexx Oncology, LLC",2,NA,0
673,"Alopexx Pharmaceuticals, LLC",1,NA,0
674,"Alopexx Vaccine, LLC",1,NA,0
675,Alpha - Bio Tec Ltd.,4,NA,0
676,"Alpha Biopharma (Jiangsu) Co., Ltd.",1,NA,0
677,Alpha Omega Engineering Ltd.,1,NA,0
678,Alpha Republic GmbH,1,NA,0
679,Alpha Tau Medical LTD.,24,NA,0
680,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",30,NA,0
682,"Alphatec Spine, Inc.",6,NA,0
683,"AlphaVax, Inc.",6,NA,0
684,"Alpheus Medical, Inc.",1,NA,0
685,"Alpine Immune Sciences, Inc.",9,NA,0
686,"Alseres Pharmaceuticals, Inc",2,NA,0
687,Altacor Ltd.,1,NA,0
688,"Altair Therapeutics, Inc.",2,NA,0
689,"ALTality, Inc.",1,NA,0
690,Altamira Medica Ltd.,1,NA,0
691,AltaRex,2,NA,0
692,Altasciences Company Inc.,1,NA,0
693,Altavant Sciences GmbH,6,NA,0
694,Altea Therapeutics,1,NA,0
695,Altec Inc.,4,NA,0
696,Alteco Medical AB,2,NA,0
697,"Alteogen, Inc.",4,NA,0
698,Alterity Therapeutics,3,NA,0
700,Alternativa International S.A,1,NA,0
701,Alternative Urological Catheter Systems Ltd.,1,NA,0
702,"Altesa Biosciences, Inc.",2,NA,0
703,AltheaDx,4,NA,0
704,"Altheos, Inc.",2,NA,0
705,"Altheus Therapeutics, Inc.",2,NA,0
706,"Altimmune, Inc.",17,NA,0
707,Altman Biomedical Consulting Pty. Ltd.,1,NA,0
708,Alto Neuroscience,8,NA,0
709,Altoida,3,NA,0
710,Altor BioScience,15,NA,0
711,Altria Client Services LLC,7,NA,0
712,AltruBio Inc.,4,NA,0
713,Altum Pharmaceuticals INC,1,NA,0
714,Altura,1,NA,0
715,Altura Medical Inc.,2,NA,0
716,Altus Pharmaceuticals,2,NA,0
717,Alucent Biomedical,5,NA,0
